id	slug	name	pak
18080	josera-indoor-2-kg-sausas-maistas-naminems-sterilizuotoms-katems	Josera Indoor 2 kg - sausas maistas naminėms sterilizuotoms katėms	["2 kg"]
18051	josera-leger-2-kg-sausas-maistas-katems-maziau-kaloriju	Josera Leger 2 kg - sausas maistas katėms, mažiau kalorijų	["2 kg"]
17932	kaledinis-skanestu-rinkinys-vidutiniu-ir-dideliu-veisliu-sunims-2	Kalėdinis skanėstų rinkinys vidutinių ir didelių veislių šunims	[]
17574	liucernos-riestainiai-grauzikams-300-g-ziarnko	Liucernos riestainiai graužikams, 300 g, Ziarnko	[]
17305	negriunantis-besisypsantis-kiausinis	Negriūnantis besišypsantis kiaušinis	[]
16959	papildas-gyvunams-bioveterinary-extra-strong-28-pok	Papildas gyvūnams Bioveterinary Extra Strong, 28 pok.	[]
16782	prins-procare-protection-super-active-sausas-maistas-aktyviems-suaugusiems-sunims-15-kg	Prins ProCare Protection Super Active sausas maistas aktyviems suaugusiems šunim	["15 kg"]
16534	royal-canin-cat-fussy-exigent-10-kg-sausas-pasaras-isrankioms-katems	ROYAL CANIN CAT FUSSY EXIGENT - 10 kg, sausas pašaras išrankioms katėms	["10 kg"]
16078	skanestai-sunims-triusio-ausys-su-antiena-500-g-al68	Skanėstai šunims - Triušio ausys su antiena, 500 g, AL68	["500 g"]
15729	erienos-ir-menkes-kubeliai-500-g-naturalus-skanestai-sunims	Ėrienos ir menkės kubeliai, 500 g, natūralūs skanėstai šunims	["500 g"]
15700	sampunas-jorksyro-terjerams-super-beno-york-professional-250-ml	Šampūnas Jorkšyro terjerams, Super Beno York Professional, 250 ml	[]
15543	zaislas-katei-laiminga-kate-happy-cat-georplast	Žaislas katei - Laiminga katė, Happy Cat Georplast	[]
15394	zaislas-suniui-besmegenis-pliusinis-su-virvelemis-50-cm-dingo	Žaislas šuniui - Besmegenis pliušinis su virvelėmis, 50 cm, Dingo	[]
15391	zaislas-suniui-besmegenis-su-virve-25-cm	Žaislas šuniui - Besmegenis su virve, 25 cm	[]
